connectionpool.py in 818 Lines: Dummy-20-22824, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-21-21476, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-22-19728, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-23-12348, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-24-8976, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-25-8456, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-26-18312, 2019-01-19 19:43:14 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:14 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-27-23036, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-28-19304, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-29-18216, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-30-22060, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-31-4248, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-32-19716, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-33-22340, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:15 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-34-21688, 2019-01-19 19:43:15 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-35-23212, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-36-22124, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-37-8488, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-38-14576, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-39-21168, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-13-12172, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-8-22876, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-25-8456, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-19-21448, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-26-18312, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-24-8976, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-27-23036, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-18-21508, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
connectionpool.py in 395 Lines: Dummy-14-21256, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-40-22504, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:16 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 818 Lines: Dummy-41-18740, 2019-01-19 19:43:16 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 818 Lines: Dummy-42-8700, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-43-5732, 2019-01-19 19:43:17 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:17 - root - INFO:To:正在准备人脸识别：##SC500001

